City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
Khatanga,RU,71.9667,102.5,4.89,97,88,6.78
Glenwood Springs,US,39.5505,-107.3248,45.41,86,94,6.69
Hermanus,ZA,-34.4187,19.2345,58.8,78,100,12.24
Anshun,CN,26.25,105.9333,58.5,95,35,9.64
Dunedin,NZ,-45.8742,170.5036,56.8,65,100,1.01
Ribeira Grande,PT,38.5167,-28.7,61.77,72,80,4.0
Misratah,LY,32.3754,15.0925,75.58,61,2,7.09
Jiangyou,CN,31.7667,104.7167,58.75,91,100,0.16
Purificación,CO,3.8587,-74.9313,87.51,60,94,1.39
Bengkulu,ID,-3.8004,102.2655,74.03,93,100,5.21
Qui Nhon,VN,13.7667,109.2333,75.99,92,100,7.36
Rumuruti,KE,0.267,36.5389,62.42,64,34,11.12
Mbekenyera,TZ,-10.0,38.9833,67.44,93,30,5.5
Nuuk,GL,64.1835,-51.7216,32.61,100,75,3.44
São João da Barra,BR,-21.6403,-41.0511,71.69,85,17,12.01
Perth,AU,-31.9333,115.8333,51.04,94,20,6.91
Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,9.22
Leningradskiy,RU,69.3833,178.4167,1.8,89,69,5.1
Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,83,4.0
Edson,CA,53.5835,-116.4356,44.74,33,20,9.22
Geraldton,AU,-28.7667,114.6,48.61,87,0,5.75
San Patricio,US,28.017,-97.5169,78.75,20,0,9.82
Faanui,PF,-16.4833,-151.75,79.68,79,99,24.29
Cayenne,GF,4.9333,-52.3333,82.44,78,100,5.75
Severo-Kuril'sk,RU,50.6789,156.125,37.33,66,4,6.04
Batagay,RU,67.6333,134.6333,16.34,94,100,2.48
Shyroke,UA,47.6917,33.2571,57.69,85,100,13.87
Yulara,AU,-25.2406,130.9889,65.46,39,0,6.46
Ponta do Sol,PT,32.6667,-17.1,74.03,87,50,4.99
Kaitangata,NZ,-46.2817,169.8464,52.79,58,100,5.35
Cherskiy,RU,68.75,161.3,-5.03,92,46,7.25
Novikovo,RU,51.1537,37.8879,47.64,85,100,6.64
Tuatapere,NZ,-46.1333,167.6833,52.07,73,100,4.74
Vardø,NO,70.3705,31.1107,30.18,86,100,9.22
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,25.39,74,0,8.95
Dingle,PH,10.9995,122.6711,75.97,92,100,5.39
San Jose,US,37.3394,-121.895,74.53,50,75,11.5
Skoghall,SE,59.3232,13.4655,48.76,92,100,6.91
Avarua,CK,-21.2078,-159.775,75.25,60,100,5.75
Waipawa,NZ,-41.4122,175.5153,57.54,61,46,9.8
Kaeo,NZ,-35.1,173.7833,61.32,82,65,9.28
Yellowknife,CA,62.456,-114.3525,21.72,93,75,11.5
Anadyr,RU,64.75,177.4833,5.5,84,75,6.71
Saint Paul Harbor,US,57.79,-152.4072,44.11,81,75,3.44
Kochubey,RU,44.3861,46.5825,47.88,60,0,6.02
Palana,RU,59.1167,159.9667,29.57,96,100,30.91
Barrow,US,71.2906,-156.7887,17.62,93,100,21.85
Caiapônia,BR,-16.9567,-51.8103,84.36,37,75,2.77
Norden,DE,53.6,7.2,52.97,97,56,10.18
Xining,CN,36.6167,101.7667,44.89,89,100,1.5
Tianmen,CN,30.6516,113.1603,60.28,63,100,11.95
The Valley,AI,18.217,-63.0578,85.86,84,40,11.5
Kimbe,PG,-5.5502,150.1429,78.26,86,88,3.24
Labuan,MY,5.2767,115.2417,77.36,94,20,0.0
Deqing,CN,30.5448,119.9599,62.94,76,99,3.6
Jaro,PH,11.1883,124.7825,75.7,95,100,3.71
Adrar,MR,20.5022,-10.0711,81.9,14,93,9.82
Bitung,ID,1.4451,125.1824,77.85,84,99,4.76
Dubovyy Umët,RU,52.9763,50.2857,34.75,80,100,7.27
Vaini,TO,-21.2,-175.2,75.36,64,75,4.61
Champerico,GT,14.3,-91.9167,91.94,73,27,8.21
Yangambi,CD,0.8102,24.4336,70.75,96,82,1.79
Cadillac,US,44.2519,-85.4012,58.91,77,100,3.44
Henties Bay,NA,-22.116,14.2845,58.3,94,84,6.38
Copiapó,CL,-27.3667,-70.3333,56.89,36,11,7.92
Swellendam,ZA,-34.0226,20.4417,60.4,86,94,7.81
Coquimbo,CL,-29.9533,-71.3436,60.53,63,75,10.36
Oranjemund,NA,-28.55,16.4333,57.74,87,99,10.36
Cabo San Lucas,MX,22.8909,-109.9124,88.61,54,20,10.36
Bereket,TM,39.2446,55.5154,55.87,67,0,1.99
Provideniya,RU,64.3833,-173.3,28.51,64,100,17.9
Saint-Pierre,RE,-21.3393,55.4781,71.91,73,0,4.61
Hambantota,LK,6.1241,81.1185,76.35,88,100,7.09
Pacific Grove,US,36.6177,-121.9166,68.54,71,0,8.01
Margate,GB,51.3813,1.3862,61.9,86,100,3.0
Soyo,AO,-6.1349,12.3689,77.65,89,70,6.15
Paragominas,BR,-2.9667,-47.4833,81.88,68,100,1.25
Husavik,IS,66.0449,-17.3389,35.28,87,100,6.8
Saldanha,ZA,-33.0117,17.9442,57.25,90,25,16.64
Salinópolis,BR,-0.6136,-47.3561,81.36,74,100,12.82
Kavaratti,IN,10.5669,72.642,81.99,61,95,7.96
Verkhnyaya Maksakovka,RU,61.635,50.9674,30.22,93,75,4.47
Orán,AR,-23.1322,-64.326,99.43,19,47,11.5
Toma,BF,12.7667,-2.8833,85.33,24,85,5.06
Moussoro,TD,13.6408,16.4901,84.99,14,3,16.26
Grindavik,IS,63.8424,-22.4338,43.27,87,99,9.22
Staraya Akkermanovka,RU,51.2467,58.2391,33.58,96,100,12.59
Tromsø,NO,69.6496,18.957,31.37,80,0,2.3
Port Elizabeth,ZA,-33.918,25.5701,65.1,77,40,13.8
Rodrigues Alves,BR,-7.738,-72.6509,86.2,54,99,3.67
Zhuanghe,CN,39.7008,122.9911,54.34,79,3,10.11
Gamba,GA,-2.65,10.0,76.87,89,77,1.45
Fortuna,US,40.5982,-124.1573,59.94,81,0,13.8
Muros,ES,42.7762,-9.0603,66.83,80,27,18.9
Mahajanga,MG,-15.7167,46.3167,78.82,83,40,4.61
Walvis Bay,NA,-22.9575,14.5053,61.75,77,100,3.44
Ol'ga,RU,43.7444,135.2892,33.15,72,0,4.85
Impfondo,CG,1.6381,18.0667,70.86,98,100,1.79
Yerbogachën,RU,61.2767,108.0108,27.68,93,100,9.73
Grão Mogol,BR,-16.5594,-42.8897,78.69,39,59,9.04
Mitzic,GA,0.7821,11.549,69.06,97,100,2.28
Katete,UG,-0.7818,29.7544,60.91,89,100,2.39
Katsuura,JP,35.1333,140.3,57.22,73,98,26.06
Lüderitz,NA,-26.6481,15.1594,63.95,63,100,17.27
Sakakah,SA,29.9697,40.2064,74.77,31,80,12.68
Hornepayne,CA,49.2138,-84.7705,48.13,66,94,10.33
Sibu,MY,2.3,111.8167,75.51,100,40,3.44
Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,100.13,23,4,10.87
Dinar,TR,38.065,30.1656,42.76,44,0,4.12
Bichura,RU,50.5881,107.6022,23.97,61,0,4.68
Ürümqi,CN,43.801,87.6005,36.55,70,0,2.24
Vila Franca do Campo,PT,37.7167,-25.4333,64.81,70,100,9.95
Torbay,CA,47.6666,-52.7314,56.5,84,20,4.61
Lüshunkou,CN,38.8,121.2667,59.22,75,100,16.62
Kędzierzyn-Koźle,PL,50.3498,18.2261,53.35,82,2,3.29
Kendari,ID,-3.945,122.4989,75.0,95,74,3.33
Kununurra,AU,-15.7667,128.7333,76.98,88,16,0.0
Makkah al Mukarramah,SA,21.4267,39.8261,81.03,61,80,4.68
Chibombo,ZM,-14.6569,28.0706,75.09,48,84,0.56
Saskylakh,RU,71.9167,114.0833,-5.39,100,73,4.05
Greytown,ZA,-29.0642,30.5928,59.0,92,81,4.94
Khovd,MN,48.0056,91.6419,25.23,57,100,1.39
Altay,CN,47.8667,88.1167,36.77,31,100,3.04
Vanino,RU,49.0869,140.2543,32.9,58,10,3.83
Dodoma,TZ,-6.1722,35.7395,71.74,54,14,11.21
Tura,IN,25.5198,90.2201,64.69,96,49,2.73
Mahébourg,MU,-20.4081,57.7,72.25,78,40,9.22
Panabá,MX,21.2833,-88.2667,85.1,59,99,10.58
Kahului,US,20.8947,-156.47,87.82,65,20,23.02
Goderich,CA,43.7501,-81.7165,68.32,49,94,8.05
Gao,ML,16.6362,1.637,85.19,19,17,9.48
Barra dos Coqueiros,BR,-10.9089,-37.0386,80.62,78,75,11.5
Forécariah,GN,9.4306,-13.0881,77.65,87,18,2.75
Asău,RO,46.4333,26.4,54.52,89,99,1.86
Kupang,ID,-10.1667,123.5833,78.76,83,100,4.38
Esperance,AU,-33.8667,121.9,55.4,80,29,8.52
Ostrovnoy,RU,68.0531,39.5131,31.32,85,97,17.11
Lucapa,AO,-8.4192,20.7447,66.87,91,92,2.93
Lavumisa,SZ,-27.31,31.892,72.82,91,61,6.87
Belmopan,BZ,17.25,-88.7667,93.58,63,88,6.82
Matara,LK,5.9485,80.5353,76.37,88,100,3.98
Padang,ID,-0.9492,100.3543,75.27,94,100,2.01
Chokurdakh,RU,70.6333,147.9167,6.67,94,100,3.04
Broken Hill,AU,-31.95,141.4333,62.29,64,97,2.01
Dubbo,AU,-32.25,148.6167,62.73,88,0,3.44
Usakos,NA,-22.0,15.6,72.72,39,84,2.17
Kankan,GN,10.3854,-9.3057,77.07,60,41,1.52
Lagoa,PT,39.05,-27.9833,63.59,65,20,22.88
Goya,AR,-29.14,-59.2626,90.03,27,0,9.78
Pokrovskoye,RU,47.4157,38.8971,52.99,87,93,7.02
Egvekinot,RU,66.3167,-179.1667,6.98,85,44,5.53
Vizianagaram,IN,18.1167,83.4167,72.81,80,92,3.31
Eirunepé,BR,-6.6603,-69.8736,87.17,59,98,3.98
Liepāja,LV,56.5419,21.0367,55.38,94,100,13.8
Santa Cruz de la Sierra,BO,-17.8,-63.1667,93.25,43,20,13.8
Baraguá,CU,21.6967,-78.6328,85.77,48,9,8.9
Gouré,NE,13.9835,10.2704,81.0,22,9,7.56
Moose Factory,CA,51.2585,-80.6094,64.4,55,100,11.5
Christchurch,NZ,-43.5333,172.6333,60.33,73,78,8.05
Puri,IN,19.8,85.85,73.92,67,1,4.65
Lorengau,PG,-2.0226,147.2712,82.04,70,100,3.29
Saint Anthony,US,45.0205,-93.218,50.9,59,0,8.05
Kropotkin,RU,45.4375,40.5756,51.66,73,84,6.2
Saint George,US,37.1041,-113.5841,65.43,23,0,3.0
Mossamedes,AO,-15.1961,12.1522,69.1,85,37,7.38
Montague,US,42.5356,-72.5351,69.46,83,100,2.44
Meulaboh,ID,4.1363,96.1285,76.24,90,100,5.03
Kavieng,PG,-2.5744,150.7967,82.81,76,100,5.77
Rundu,NA,-17.9333,19.7667,80.29,36,97,3.02
St. George's,GD,12.0564,-61.7485,83.88,84,40,13.8
Kumul,CN,42.8,93.45,51.55,37,100,4.23
Pierre,US,44.3683,-100.351,58.12,40,0,19.57
Kumluca,TR,36.3703,30.2869,71.04,47,0,4.92
Chui,UY,-33.6971,-53.4616,63.21,74,5,12.77
Marsh Harbour,BS,26.5412,-77.0636,79.14,68,9,10.29
Swan Hill,AU,-35.3378,143.5544,57.9,92,85,10.2
Tazovsky,RU,67.4667,78.7,16.88,92,97,12.39
Novopokrovka,UA,49.8425,36.5477,50.02,94,100,7.43
Sinnamary,GF,5.3833,-52.95,81.7,76,99,9.6
Kenai,US,60.5544,-151.2583,29.14,93,100,10.36
Sungai Besar,MY,3.6746,100.9867,76.39,92,99,3.18
Pevek,RU,69.7008,170.3133,-0.36,93,10,6.24
Marmari,GR,38.0484,24.3204,71.74,47,0,1.01
La Puebla de Cazalla,ES,37.2216,-5.3115,67.01,62,100,3.24
Necochea,AR,-38.5473,-58.7368,64.76,71,100,10.58
Oshkosh,US,44.0247,-88.5426,48.29,75,100,8.05
Klaksvík,FO,62.2266,-6.589,49.12,92,100,10.63
Lompoc,US,34.6391,-120.4579,80.02,64,0,18.41
Begijnendijk,BE,51.0194,4.7848,55.33,88,75,3.44
Tibiri,NE,13.5627,7.0485,84.88,22,25,9.8
Ardakān,IR,32.31,54.0175,65.86,40,96,10.85
Santa Elena,EC,-2.2333,-80.85,71.06,77,81,12.68
Nanortalik,GL,60.1432,-45.2371,34.12,74,2,3.15
Zambezi,ZM,-13.5432,23.1047,73.65,44,37,5.21
Peterhead,GB,57.5058,-1.7981,54.0,89,100,12.97
Kaoma,ZM,-14.7833,24.8,72.91,46,32,5.28
Haines Junction,CA,60.7522,-137.5108,24.75,58,6,5.75
Qarchī Gak,AF,37.04,66.7889,60.69,73,100,16.28
Peniche,PT,39.3558,-9.3811,66.29,91,0,18.01
Mount Isa,AU,-20.7333,139.5,71.37,100,40,8.05
Mildura,AU,-34.2,142.15,57.16,88,100,8.05
Pimenta Bueno,BR,-11.6725,-61.1936,79.41,88,94,4.27
Rocha,UY,-34.4833,-54.3333,64.63,76,8,11.54
Gmina Opole Lubelskie,PL,51.1478,21.969,54.81,89,67,7.43
Coyhaique,CL,-45.5752,-72.0662,56.01,71,75,3.44
Vanimo,PG,-2.6741,141.3028,77.49,90,100,3.53
Caravelas,BR,-17.7125,-39.2481,72.45,91,38,5.97
Ilulissat,GL,69.2167,-51.1,26.62,93,75,2.3
Beringovskiy,RU,63.05,179.3167,21.07,80,97,12.55
Lerwick,GB,60.1545,-1.1494,51.8,88,100,10.42
Lumut,MY,4.2323,100.6298,75.22,94,20,0.0
Constantine,DZ,36.365,6.6147,63.81,29,0,2.3
‘Āhuimanu,US,21.4447,-157.8378,85.71,69,20,19.57
Invermere,CA,50.5167,-116.0354,46.36,44,92,2.66
Maniitsoq,GL,65.4167,-52.9,28.99,78,72,6.31
Rio Grande,BR,-32.035,-52.0986,69.91,78,0,16.06
Kuril'sk,RU,45.2333,147.8833,40.53,59,5,1.32
Codrington,AU,-38.2667,141.9667,57.15,96,99,9.37
Portland,US,45.5234,-122.6762,57.29,82,100,8.99
Solnechnyy,RU,50.7214,136.6319,31.8,68,35,4.25
Peace River,CA,56.2501,-117.286,34.11,74,100,4.61
San Andrés,CO,12.5847,-81.7006,86.02,70,75,4.61
Taoudenni,ML,22.6783,-3.9836,83.82,12,92,10.98
Yarmouth,US,41.7057,-70.2286,68.11,95,100,5.75
Bastrop,US,32.7562,-91.8724,69.48,54,75,11.5
Buala,SB,-8.145,159.5921,82.24,76,72,3.91
Havre-St-Pierre,CA,50.2334,-63.5986,52.16,87,100,2.3
Narsaq,GL,60.9167,-46.05,26.82,74,0,5.84
Nanlong,CN,31.3533,106.0631,59.11,96,100,2.46
Takoradze,GH,4.8845,-1.7554,77.85,87,76,5.17
Baculin,PH,7.4525,126.5842,78.22,82,100,5.06
Tuktoyaktuk,CA,69.4541,-133.0374,12.2,92,75,6.91
Colares,PT,38.7992,-9.4469,68.32,96,19,10.0
Arusha,TZ,-3.3667,36.6833,63.86,80,83,8.77
Leer,SS,8.3018,30.1418,74.25,72,50,3.38
Bonthe,SL,7.5264,-12.505,79.11,84,24,5.37
Tupanciretã,BR,-29.0806,-53.8358,73.51,63,0,6.69
Guerrero Negro,MX,27.9769,-114.0611,77.83,30,0,8.57
Ranong,TH,9.9658,98.6348,77.25,88,100,0.98
Leh,IN,34.1667,77.5833,29.82,48,1,0.49
Porto-Novo,BJ,6.4965,2.6036,76.82,83,100,5.08
Suaza,CO,1.9761,-75.7945,75.85,86,93,3.62
Alibag,IN,18.6411,72.8792,80.67,69,0,5.7
Fort Nelson,CA,58.8053,-122.7002,29.95,71,75,1.01
Susner,IN,23.95,76.0833,68.47,41,0,4.43
Edd,ER,13.9297,41.6925,86.79,49,2,16.96
Russell,US,32.3502,-85.1999,78.4,57,100,4.61
Bonfim,BR,3.0833,-59.95,91.35,61,89,3.83
Kodinsk,RU,58.6881,99.1844,28.15,76,46,5.79
Tafalla,ES,42.5269,-1.6745,70.68,49,64,4.18
Sørland,NO,67.667,12.6934,44.46,64,100,1.28
Pingzhuang,CN,42.0372,119.2889,50.95,74,85,3.94
Santa Maria,BR,-29.6842,-53.8069,74.35,62,0,7.78
Coahuayana Viejo,MX,18.7333,-103.6833,83.71,76,87,5.91
Dudinka,RU,69.4058,86.1778,-1.57,100,98,5.01
Khvastovichi,RU,53.4694,35.0941,42.57,83,100,7.31
Newcastle,AU,-32.9272,151.7765,71.1,74,0,10.36
Le Port,RE,-20.9373,55.2919,72.25,68,22,9.98
São Filipe,CV,14.8961,-24.4956,78.48,78,79,7.94
Grahamstown,ZA,-33.3042,26.5328,55.96,87,100,7.45
Kouango,CF,4.9934,19.9619,72.68,93,97,2.62
Mutatá,CO,7.2441,-76.4356,79.27,95,100,2.84
Greencastle,US,39.6445,-86.8647,63.55,96,100,5.75
Viedma,AR,-40.8135,-62.9967,74.68,36,98,17.38
Vostok,RU,46.4856,135.8833,27.97,54,10,4.76
Cabadiangan,PH,9.7531,122.4739,77.52,90,90,5.7
Davenda,RU,53.5556,119.317,18.91,85,12,3.56
Regen,DE,48.9667,13.1333,50.04,100,43,3.09
Mandalgovi,MN,45.7625,106.2708,20.64,64,2,6.06
Faya,SA,18.3851,42.4509,62.71,71,24,3.15
Adré,TD,13.4667,22.2,75.6,21,3,7.2
Barnaul,RU,53.3606,83.7636,29.12,74,0,4.47
San Quintín,MX,30.4833,-115.95,71.85,27,0,9.78
Jalu,LY,29.0331,21.5482,70.16,61,0,11.36
Vestmanna,FO,62.1564,-7.1664,49.12,93,100,9.22
Saint-François,FR,46.4154,3.9054,57.67,88,97,2.3
Port Hardy,CA,50.6996,-127.4199,46.58,93,75,3.44
Zhigansk,RU,66.7697,123.3711,4.42,94,97,6.4
Saint-Augustin,CA,51.226,-58.6502,51.37,83,58,6.87
Tyrma,RU,50.0833,132.1667,31.96,68,100,2.59
Manaus,BR,-3.1019,-60.025,81.09,89,75,4.61
Gayny,RU,60.3071,54.3241,29.73,79,97,5.21
La Romana,DO,18.4273,-68.9728,71.96,100,100,0.0
Fenoarivo,MG,-18.933,47.4354,64.47,100,75,0.0
Maamba,ZM,-17.3667,27.15,80.46,32,6,2.82
Tarko-Sale,RU,64.9225,77.785,30.49,98,100,7.54
Pandan,PH,14.0453,124.1694,81.09,85,90,17.9
Ulaanbaatar,MN,47.9077,106.8832,6.93,78,0,4.47
Sechura,PE,-5.5569,-80.8222,75.83,55,89,16.69
Boende,CD,-0.2167,20.8667,72.3,97,100,2.82
Ust'-Kut,RU,56.7938,105.7672,27.54,68,88,4.72
Artesia,US,33.8658,-118.0831,84.43,37,0,9.22
Sydney,AU,-33.8679,151.2073,72.48,76,0,6.91
Marzuq,YE,14.4,46.4667,67.14,59,4,3.51
Panzhihua,CN,26.5851,101.7128,65.48,91,79,2.06
Newport,GB,51.5877,-2.9984,61.02,86,100,18.77
Pacifica,US,37.6138,-122.4869,74.41,72,75,14.97
Dombarovskiy,RU,50.7587,59.5386,39.27,94,100,17.02
Okhotsk,RU,59.3833,143.3,22.66,65,8,11.72
Sur,OM,22.5667,59.5289,80.28,49,0,6.89
Susanville,US,40.4163,-120.653,59.67,45,0,4.0
Riyadh,SA,24.6877,46.7219,73.54,17,0,7.74
Nioro,GM,13.35,-15.75,81.82,62,99,0.76
Emba,KZ,48.8264,58.1442,44.38,84,100,16.96
Cairns,AU,-16.9167,145.7667,80.55,86,0,2.3
Tinskoy,RU,56.1525,96.9161,29.34,59,10,4.07
Maridi,SS,4.9158,29.4742,69.13,89,87,2.42
Hatillo,PR,18.4863,-66.8254,83.79,85,100,1.54
Fuerte Olimpo,PY,-21.0415,-57.8738,95.68,27,0,3.94
Crib Point,AU,-38.35,145.2,59.9,94,100,0.4
Mogadishu,SO,2.0371,45.3438,78.4,86,75,12.66
Qasigiannguit,GL,68.8193,-51.1922,26.85,97,100,7.05
Makungu,TZ,-8.7333,35.2833,63.18,64,95,3.2
Departamento de Maldonado,UY,-34.6667,-54.9167,70.23,67,14,9.53
Rock Sound,BS,24.9,-76.2,79.54,68,55,7.16
Richards Bay,ZA,-28.783,32.0377,71.58,87,89,20.38
Antofagasta,CL,-23.65,-70.4,61.88,70,6,9.22
Lethem,GY,3.3803,-59.7968,91.45,58,20,13.8
Chabahar,IR,25.2919,60.643,82.11,63,0,7.94
Zaraza,VE,9.3503,-65.3245,83.46,76,100,3.74
Mehamn,NO,71.0357,27.8492,33.75,75,75,6.91
Donskoye,RU,45.4552,41.9741,46.53,60,43,7.72
Svarstad,NO,59.399,9.9698,46.76,58,50,2.3
Formosa do Rio Preto,BR,-11.0483,-45.1931,73.44,80,99,1.14
Talnakh,RU,69.4865,88.3972,8.15,98,96,2.62
Talcahuano,CL,-36.7167,-73.1167,56.88,88,100,13.8
Kosh-Agach,RU,50.0,88.6667,18.84,50,46,3.06
Gwadar,PK,25.1216,62.3254,79.05,82,0,7.72
Bainbridge Island,US,47.6262,-122.5212,51.84,90,100,11.5
Ussel,FR,45.55,2.3167,55.54,80,95,3.13
Popondetta,PG,-8.7537,148.2534,78.08,78,53,1.92
Togur,RU,58.3631,82.8265,31.69,69,100,13.11
Fresnillo,MX,23.1667,-102.8833,74.75,24,25,7.92
Michigan City,US,41.7075,-86.895,61.32,99,100,3.44
Avera,US,33.194,-82.5271,78.31,36,97,7.54
Hofn,IS,64.2539,-15.2082,42.15,81,100,19.26
